name	taxonomy_id	taxonomy_lvl	SRR15276518_family_filtered.bracken_num	SRR15276518_family_filtered.bracken_frac	SRR15276519_family_filtered.bracken_num	SRR15276519_family_filtered.bracken_frac	SRR15276520_family_filtered.bracken_num	SRR15276520_family_filtered.bracken_frac	SRR15276521_family_filtered.bracken_num	SRR15276521_family_filtered.bracken_frac	SRR15276522_family_filtered.bracken_num	SRR15276522_family_filtered.bracken_frac	SRR15276523_family_filtered.bracken_num	SRR15276523_family_filtered.bracken_frac	SRR15276524_family_filtered.bracken_num	SRR15276524_family_filtered.bracken_frac	SRR15276525_family_filtered.bracken_num	SRR15276525_family_filtered.bracken_frac	SRR15276526_family_filtered.bracken_num	SRR15276526_family_filtered.bracken_frac	SRR15276527_family_filtered.bracken_num	SRR15276527_family_filtered.bracken_frac	SRR15276528_family_filtered.bracken_num	SRR15276528_family_filtered.bracken_frac	SRR15276529_family_filtered.bracken_num	SRR15276529_family_filtered.bracken_frac	SRR15276530_family_filtered.bracken_num	SRR15276530_family_filtered.bracken_frac	SRR15276531_family_filtered.bracken_num	SRR15276531_family_filtered.bracken_frac	SRR15276532_family_filtered.bracken_num	SRR15276532_family_filtered.bracken_frac	SRR15276533_family_filtered.bracken_num	SRR15276533_family_filtered.bracken_frac	SRR15276534_family_filtered.bracken_num	SRR15276534_family_filtered.bracken_frac	SRR15276535_family_filtered.bracken_num	SRR15276535_family_filtered.bracken_frac	SRR15276536_family_filtered.bracken_num	SRR15276536_family_filtered.bracken_frac	SRR15276537_family_filtered.bracken_num	SRR15276537_family_filtered.bracken_frac	SRR15276538_family_filtered.bracken_num	SRR15276538_family_filtered.bracken_frac	SRR15276539_family_filtered.bracken_num	SRR15276539_family_filtered.bracken_frac	SRR15276540_family_filtered.bracken_num	SRR15276540_family_filtered.bracken_frac	SRR15276541_family_filtered.bracken_num	SRR15276541_family_filtered.bracken_frac	SRR15276542_family_filtered.bracken_num	SRR15276542_family_filtered.bracken_frac	SRR15276543_family_filtered.bracken_num	SRR15276543_family_filtered.bracken_frac	SRR15276544_family_filtered.bracken_num	SRR15276544_family_filtered.bracken_frac	SRR15276545_family_filtered.bracken_num	SRR15276545_family_filtered.bracken_frac	SRR15276546_family_filtered.bracken_num	SRR15276546_family_filtered.bracken_frac	SRR15276547_family_filtered.bracken_num	SRR15276547_family_filtered.bracken_frac
Clostridiaceae	31979	F	2787	0.00262	6228	0.00059	3117	0.00082	5390	0.00066	3111	0.00105	3171	0.00059	3268	0.00065	3598	0.00282	2400	0.00129	5971	0.00066	3160	0.00237	3047	0.00071	2336	0.00124	2387	0.00131	2592	0.00041	3022	0.00196	3800	0.00116	4274	0.00065	2207	0.00053	2923	0.00112	2495	0.00045	4251	0.00083	2417	0.00285	2654	0.00099	2482	0.00164	4188	0.00057	3623	0.00153	3162	0.00062	2630	0.00281	3018	0.00074
Gordoniaceae	85026	F	2319	0.00218	1932	0.00018	105670	0.02767	0	0.00000	3311	0.00111	0	0.00000	6748	0.00133	14666	0.01151	23261	0.01251	2645	0.00029	8204	0.00616	58842	0.01369	9006	0.00477	22204	0.01217	165890	0.02654	17612	0.01143	59197	0.01802	6122	0.00094	8677	0.00208	19986	0.00768	3879	0.00070	0	0.00000	7256	0.00855	2636	0.00098	3853	0.00254	1328	0.00018	5497	0.00232	2200	0.00043	2257	0.00241	1656	0.00041
Staphylococcaceae	90964	F	1506	0.00142	24398	0.00232	2457	0.00064	20360	0.00249	1261	0.00042	6717	0.00126	8928	0.00177	1650	0.00129	3874	0.00208	30075	0.00330	2157	0.00162	1353	0.00031	0	0.00000	0	0.00000	1103	0.00018	1248	0.00081	1702	0.00052	4717	0.00072	1031	0.00025	1187	0.00046	1393	0.00025	12182	0.00238	0	0.00000	2526	0.00094	0	0.00000	11182	0.00152	1584	0.00067	5066	0.00099	1098	0.00117	6101	0.00150
Pseudonocardiaceae	2070	F	1440	0.00136	1567	0.00015	68334	0.01789	0	0.00000	2131	0.00072	0	0.00000	4316	0.00085	9684	0.00760	14897	0.00801	1976	0.00022	5310	0.00399	38775	0.00902	5913	0.00313	14423	0.00790	110070	0.01761	11455	0.00743	40529	0.01234	4368	0.00067	5810	0.00139	12882	0.00495	2462	0.00044	1968	0.00038	4798	0.00565	1779	0.00066	2466	0.00163	1081	0.00015	3684	0.00155	1502	0.00029	1428	0.00153	1079	0.00027
Weeksellaceae	2762318	F	1370	0.00129	3214	0.00031	1492	0.00039	2662	0.00033	1608	0.00054	1598	0.00030	1579	0.00031	1625	0.00127	1145	0.00062	2882	0.00032	1537	0.00115	1282	0.00030	1076	0.00057	1156	0.00063	1116	0.00018	1431	0.00093	1936	0.00059	2170	0.00033	0	0.00000	1316	0.00051	1254	0.00023	1711	0.00033	1112	0.00131	1335	0.00050	1083	0.00071	2026	0.00028	1741	0.00073	1506	0.00029	1221	0.00130	1471	0.00036
Erwiniaceae	1903409	F	1333	0.00126	3445	0.00033	3334	0.00087	4380	0.00054	2766	0.00093	5751	0.00108	6608	0.00131	3466	0.00272	1177	0.00063	2266	0.00025	5771	0.00433	8549	0.00199	1327	0.00070	1080	0.00059	7401	0.00118	2812	0.00182	4776	0.00145	17881	0.00274	5951	0.00143	4956	0.00191	55588	0.01005	4536	0.00089	6372	0.00751	19256	0.00719	2025	0.00134	11412	0.00155	5357	0.00226	18899	0.00369	8022	0.00857	8720	0.00214
Lactobacillaceae	33958	F	1108	0.00104	5725	0.00054	1338	0.00035	1898	0.00023	1394	0.00047	1424	0.00027	1308	0.00026	1330	0.00104	0	0.00000	2368	0.00026	1335	0.00100	1494	0.00035	1082	0.00057	1011	0.00055	1301	0.00021	1268	0.00082	1630	0.00050	2197	0.00034	1257	0.00030	1295	0.00050	1786	0.00032	2019	0.00039	0	0.00000	1104	0.00041	1022	0.00067	1857	0.00025	1578	0.00067	1461	0.00029	1133	0.00121	1350	0.00033
Halomonadaceae	28256	F	0	0.00000	16273	0.00154	2678	0.00070	13230	0.00162	0	0.00000	5281	0.00099	6515	0.00129	0	0.00000	1962	0.00106	14010	0.00154	1212	0.00091	1053	0.00025	0	0.00000	0	0.00000	2302	0.00037	0	0.00000	1323	0.00040	3032	0.00046	0	0.00000	0	0.00000	0	0.00000	7300	0.00143	0	0.00000	1411	0.00053	0	0.00000	8328	0.00113	0	0.00000	3587	0.00070	0	0.00000	4300	0.00106
Vibrionaceae	641	F	0	0.00000	3432	0.00033	1331	0.00035	2640	0.00032	1183	0.00040	1385	0.00026	1706	0.00034	1283	0.00101	1073	0.00058	2927	0.00032	1306	0.00098	1389	0.00032	0	0.00000	0	0.00000	1072	0.00017	1032	0.00067	2569	0.00078	2500	0.00038	0	0.00000	1062	0.00041	1542	0.00028	1558	0.00030	0	0.00000	1187	0.00044	0	0.00000	2053	0.00028	1205	0.00051	1405	0.00027	0	0.00000	1399	0.00034
Pseudomonadaceae	135621	F	0	0.00000	3110	0.00030	14377	0.00376	2736	0.00033	1243	0.00042	1370	0.00026	2077	0.00041	2603	0.00204	4127	0.00222	3019	0.00033	2249	0.00169	7367	0.00171	1910	0.00101	3823	0.00209	21799	0.00349	2838	0.00184	8952	0.00273	2704	0.00041	1642	0.00039	2769	0.00106	2385	0.00043	3015	0.00059	1409	0.00166	1468	0.00055	0	0.00000	2143	0.00029	1421	0.00060	1629	0.00032	0	0.00000	1532	0.00038
Pectobacteriaceae	1903410	F	0	0.00000	3058	0.00029	3301	0.00086	4737	0.00058	2322	0.00078	6756	0.00127	7700	0.00152	3269	0.00256	0	0.00000	1632	0.00018	6346	0.00476	9918	0.00231	0	0.00000	0	0.00000	8809	0.00141	2574	0.00167	5137	0.00156	21613	0.00331	6959	0.00167	5589	0.00215	70747	0.01279	5159	0.00101	7640	0.00900	24447	0.00913	1838	0.00121	14280	0.00194	5628	0.00237	24325	0.00475	9649	0.01031	10430	0.00256
Pasteurellaceae	712	F	0	0.00000	2473	0.00023	0	0.00000	1896	0.00023	0	0.00000	0	0.00000	1081	0.00021	0	0.00000	0	0.00000	1921	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1109	0.00022	0	0.00000	0	0.00000	0	0.00000	1390	0.00019	0	0.00000	0	0.00000	0	0.00000	0	0.00000
