name	taxonomy_id	taxonomy_lvl	SRR15276518_family_filtered.bracken_num	SRR15276518_family_filtered.bracken_frac	SRR15276519_family_filtered.bracken_num	SRR15276519_family_filtered.bracken_frac	SRR15276520_family_filtered.bracken_num	SRR15276520_family_filtered.bracken_frac	SRR15276521_family_filtered.bracken_num	SRR15276521_family_filtered.bracken_frac	SRR15276522_family_filtered.bracken_num	SRR15276522_family_filtered.bracken_frac	SRR15276523_family_filtered.bracken_num	SRR15276523_family_filtered.bracken_frac	SRR15276524_family_filtered.bracken_num	SRR15276524_family_filtered.bracken_frac	SRR15276525_family_filtered.bracken_num	SRR15276525_family_filtered.bracken_frac	SRR15276526_family_filtered.bracken_num	SRR15276526_family_filtered.bracken_frac	SRR15276527_family_filtered.bracken_num	SRR15276527_family_filtered.bracken_frac	SRR15276528_family_filtered.bracken_num	SRR15276528_family_filtered.bracken_frac	SRR15276529_family_filtered.bracken_num	SRR15276529_family_filtered.bracken_frac	SRR15276530_family_filtered.bracken_num	SRR15276530_family_filtered.bracken_frac	SRR15276531_family_filtered.bracken_num	SRR15276531_family_filtered.bracken_frac	SRR15276532_family_filtered.bracken_num	SRR15276532_family_filtered.bracken_frac	SRR15276533_family_filtered.bracken_num	SRR15276533_family_filtered.bracken_frac	SRR15276534_family_filtered.bracken_num	SRR15276534_family_filtered.bracken_frac	SRR15276535_family_filtered.bracken_num	SRR15276535_family_filtered.bracken_frac	SRR15276536_family_filtered.bracken_num	SRR15276536_family_filtered.bracken_frac	SRR15276537_family_filtered.bracken_num	SRR15276537_family_filtered.bracken_frac	SRR15276538_family_filtered.bracken_num	SRR15276538_family_filtered.bracken_frac	SRR15276539_family_filtered.bracken_num	SRR15276539_family_filtered.bracken_frac	SRR15276540_family_filtered.bracken_num	SRR15276540_family_filtered.bracken_frac	SRR15276541_family_filtered.bracken_num	SRR15276541_family_filtered.bracken_frac	SRR15276542_family_filtered.bracken_num	SRR15276542_family_filtered.bracken_frac	SRR15276543_family_filtered.bracken_num	SRR15276543_family_filtered.bracken_frac	SRR15276544_family_filtered.bracken_num	SRR15276544_family_filtered.bracken_frac	SRR15276545_family_filtered.bracken_num	SRR15276545_family_filtered.bracken_frac	SRR15276546_family_filtered.bracken_num	SRR15276546_family_filtered.bracken_frac	SRR15276547_family_filtered.bracken_num	SRR15276547_family_filtered.bracken_frac
Rhizobiaceae	82115	F	0	0.00000	1424	0.00014	4312	0.00113	1549	0.00019	0	0.00000	0	0.00000	1258	0.00025	0	0.00000	1392	0.00075	1269	0.00014	0	0.00000	3150	0.00073	0	0.00000	0	0.00000	6412	0.00103	1166	0.00076	9741	0.00297	3810	0.00058	0	0.00000	1168	0.00045	1201	0.00022	2938	0.00057	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bruguierivoracaceae	2812006	F	0	0.00000	1410	0.00013	1565	0.00041	2370	0.00029	1143	0.00038	3453	0.00065	4006	0.00079	1716	0.00135	0	0.00000	0	0.00000	3301	0.00248	5018	0.00117	0	0.00000	0	0.00000	4236	0.00068	1239	0.00080	2509	0.00076	11593	0.00177	3654	0.00088	2769	0.00106	38458	0.00695	2581	0.00050	3945	0.00465	12630	0.00472	0	0.00000	7352	0.00100	2993	0.00126	12367	0.00241	4866	0.00520	5371	0.00132
Campylobacteraceae	72294	F	0	0.00000	1365	0.00013	0	0.00000	1202	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1267	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Yersiniaceae	1903411	F	0	0.00000	1364	0.00013	1605	0.00042	1913	0.00023	0	0.00000	2215	0.00042	2622	0.00052	1230	0.00096	0	0.00000	0	0.00000	2014	0.00151	3284	0.00076	0	0.00000	0	0.00000	3355	0.00054	0	0.00000	2120	0.00065	6856	0.00105	2314	0.00055	1940	0.00075	21856	0.00395	1926	0.00038	2591	0.00305	7533	0.00281	0	0.00000	4862	0.00066	1778	0.00075	7625	0.00149	2911	0.00311	3255	0.00080
Bacteroidaceae	815	F	0	0.00000	1211	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fusobacteriaceae	203492	F	0	0.00000	1167	0.00011	0	0.00000	1053	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1118	0.00012	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Metamycoplasmataceae	2895623	F	0	0.00000	1099	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Peptostreptococcaceae	186804	F	0	0.00000	1059	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nocardioidaceae	85015	F	0	0.00000	0	0.00000	32040	0.00839	0	0.00000	0	0.00000	0	0.00000	2054	0.00041	4488	0.00352	7001	0.00377	0	0.00000	2464	0.00185	18333	0.00427	2733	0.00145	7076	0.00388	51601	0.00826	5491	0.00356	18655	0.00568	1985	0.00030	2668	0.00064	6259	0.00241	1147	0.00021	4925	0.00096	2274	0.00268	0	0.00000	1186	0.00078	0	0.00000	1707	0.00072	0	0.00000	0	0.00000	0	0.00000
Corynebacteriaceae	1653	F	0	0.00000	0	0.00000	29442	0.00771	0	0.00000	0	0.00000	0	0.00000	1720	0.00034	3891	0.00305	5903	0.00318	0	0.00000	2244	0.00168	15963	0.00371	2514	0.00133	6149	0.00337	44500	0.00712	4903	0.00318	16564	0.00504	1870	0.00029	2606	0.00062	5524	0.00212	0	0.00000	0	0.00000	2042	0.00241	0	0.00000	0	0.00000	0	0.00000	1677	0.00071	0	0.00000	0	0.00000	0	0.00000
Micromonosporaceae	28056	F	0	0.00000	0	0.00000	25682	0.00673	0	0.00000	0	0.00000	0	0.00000	1745	0.00035	3512	0.00276	5451	0.00293	0	0.00000	2024	0.00152	14310	0.00333	2194	0.00116	5516	0.00302	40200	0.00643	4421	0.00287	15335	0.00467	1906	0.00029	2151	0.00052	4822	0.00185	0	0.00000	1917	0.00037	1866	0.00220	0	0.00000	0	0.00000	0	0.00000	1322	0.00056	0	0.00000	0	0.00000	0	0.00000
Micrococcaceae	1268	F	0	0.00000	0	0.00000	22685	0.00594	0	0.00000	0	0.00000	0	0.00000	1659	0.00033	3115	0.00244	4812	0.00259	0	0.00000	1711	0.00128	13338	0.00310	2154	0.00114	5095	0.00279	37705	0.00603	4057	0.00263	13934	0.00424	1631	0.00025	2131	0.00051	4595	0.00177	0	0.00000	162600	0.03179	1813	0.00214	0	0.00000	0	0.00000	0	0.00000	1288	0.00054	0	0.00000	0	0.00000	0	0.00000
Dietziaceae	85029	F	0	0.00000	0	0.00000	21844	0.00572	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2985	0.00234	4679	0.00252	0	0.00000	0	0.00000	12492	0.00291	0	0.00000	4648	0.00255	34954	0.00559	3548	0.00230	12254	0.00373	0	0.00000	0	0.00000	4282	0.00165	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cellulomonadaceae	85016	F	0	0.00000	0	0.00000	19366	0.00507	0	0.00000	0	0.00000	0	0.00000	1138	0.00023	2627	0.00206	3858	0.00208	0	0.00000	1451	0.00109	11394	0.00265	2019	0.00107	4680	0.00256	32948	0.00527	3561	0.00231	11693	0.00356	1166	0.00018	1714	0.00041	3965	0.00152	0	0.00000	1906	0.00037	1505	0.00177	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tsukamurellaceae	85028	F	0	0.00000	0	0.00000	15133	0.00396	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2185	0.00171	3469	0.00187	0	0.00000	1201	0.00090	8325	0.00194	1354	0.00072	3255	0.00178	23873	0.00382	2516	0.00163	8550	0.00260	0	0.00000	1311	0.00031	2862	0.00110	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sphingomonadaceae	41297	F	0	0.00000	0	0.00000	8142	0.00213	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1242	0.00097	2109	0.00113	0	0.00000	0	0.00000	4699	0.00109	0	0.00000	1920	0.00105	12967	0.00207	1505	0.00098	5183	0.00158	0	0.00000	0	0.00000	1817	0.00070	0	0.00000	6784	0.00133	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Promicromonosporaceae	85017	F	0	0.00000	0	0.00000	8050	0.00211	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1598	0.00086	0	0.00000	0	0.00000	4581	0.00107	0	0.00000	1784	0.00098	13582	0.00217	1462	0.00095	4797	0.00146	0	0.00000	0	0.00000	1677	0.00064	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nitrobacteraceae	41294	F	0	0.00000	0	0.00000	7144	0.00187	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1236	0.00097	1701	0.00091	0	0.00000	0	0.00000	4168	0.00097	0	0.00000	1695	0.00093	10851	0.00174	1314	0.00085	4341	0.00132	0	0.00000	0	0.00000	1473	0.00057	0	0.00000	1386	0.00027	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Propionibacteriaceae	31957	F	0	0.00000	0	0.00000	7047	0.00185	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1494	0.00080	0	0.00000	0	0.00000	3987	0.00093	0	0.00000	1603	0.00088	11034	0.00177	1373	0.00089	4406	0.00134	0	0.00000	0	0.00000	1512	0.00058	0	0.00000	17338	0.00339	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1663	0.00032	0	0.00000	0	0.00000
Brevibacteriaceae	85019	F	0	0.00000	0	0.00000	6495	0.00170	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1308	0.00070	0	0.00000	0	0.00000	3973	0.00092	0	0.00000	1625	0.00089	11100	0.00178	0	0.00000	4118	0.00125	0	0.00000	0	0.00000	1421	0.00055	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermomonosporaceae	2012	F	0	0.00000	0	0.00000	6072	0.00159	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1447	0.00078	0	0.00000	0	0.00000	3592	0.00084	0	0.00000	1417	0.00078	10000	0.00160	0	0.00000	3687	0.00112	0	0.00000	0	0.00000	1280	0.00049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Dermabacteraceae	85020	F	0	0.00000	0	0.00000	6069	0.00159	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1250	0.00067	0	0.00000	0	0.00000	3594	0.00084	0	0.00000	0	0.00000	10158	0.00163	0	0.00000	3612	0.00110	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Intrasporangiaceae	85021	F	0	0.00000	0	0.00000	5631	0.00147	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1188	0.00064	0	0.00000	0	0.00000	3432	0.00080	0	0.00000	1352	0.00074	9918	0.00159	0	0.00000	3584	0.00109	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nocardiopsaceae	83676	F	0	0.00000	0	0.00000	4796	0.00126	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1122	0.00060	0	0.00000	0	0.00000	2650	0.00062	0	0.00000	0	0.00000	7789	0.00125	0	0.00000	2826	0.00086	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptosporangiaceae	2004	F	0	0.00000	0	0.00000	4152	0.00109	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2377	0.00055	0	0.00000	0	0.00000	6661	0.00107	0	0.00000	2583	0.00079	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Comamonadaceae	80864	F	0	0.00000	0	0.00000	4128	0.00108	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2536	0.00059	0	0.00000	0	0.00000	6051	0.00097	0	0.00000	6259	0.00191	1924	0.00029	0	0.00000	0	0.00000	0	0.00000	1213	0.00024	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Actinomycetaceae	2049	F	0	0.00000	0	0.00000	4034	0.00106	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2317	0.00054	0	0.00000	0	0.00000	6334	0.00101	0	0.00000	2614	0.00080	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Dermacoccaceae	145357	F	0	0.00000	0	0.00000	4005	0.00105	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2327	0.00054	0	0.00000	0	0.00000	6473	0.00104	0	0.00000	2367	0.00072	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacteriaceae	119045	F	0	0.00000	0	0.00000	3427	0.00090	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2047	0.00048	0	0.00000	0	0.00000	5441	0.00087	0	0.00000	2414	0.00073	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3917	0.00077	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phyllobacteriaceae	69277	F	0	0.00000	0	0.00000	3318	0.00087	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1864	0.00043	0	0.00000	0	0.00000	5001	0.00080	0	0.00000	2121	0.00065	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haloarculaceae	1963268	F	0	0.00000	0	0.00000	3202	0.00084	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1862	0.00043	0	0.00000	0	0.00000	5216	0.00083	0	0.00000	1884	0.00057	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Geodermatophilaceae	85030	F	0	0.00000	0	0.00000	3063	0.00080	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1852	0.00043	0	0.00000	0	0.00000	5204	0.00083	0	0.00000	1862	0.00057	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2401	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ruaniaceae	1331736	F	0	0.00000	0	0.00000	2839	0.00074	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	5058	0.00081	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ornithinimicrobiaceae	2805590	F	0	0.00000	0	0.00000	2813	0.00074	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1617	0.00038	0	0.00000	0	0.00000	4453	0.00071	0	0.00000	1761	0.00054	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halorubraceae	1963271	F	0	0.00000	0	0.00000	2726	0.00071	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1419	0.00033	0	0.00000	0	0.00000	4083	0.00065	0	0.00000	1440	0.00044	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acetobacteraceae	433	F	0	0.00000	0	0.00000	2522	0.00066	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1347	0.00031	0	0.00000	0	0.00000	3776	0.00060	0	0.00000	1514	0.00046	0	0.00000	0	0.00000	0	0.00000	0	0.00000	5736	0.00112	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paracoccaceae	31989	F	0	0.00000	0	0.00000	2486	0.00065	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1374	0.00032	0	0.00000	0	0.00000	3632	0.00058	0	0.00000	1890	0.00058	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Beutenbergiaceae	125316	F	0	0.00000	0	0.00000	2418	0.00063	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1613	0.00038	0	0.00000	0	0.00000	4769	0.00076	0	0.00000	1542	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Oxalobacteraceae	75682	F	0	0.00000	0	0.00000	2361	0.00062	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1299	0.00030	0	0.00000	0	0.00000	3642	0.00058	0	0.00000	1847	0.00056	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bogoriellaceae	145358	F	0	0.00000	0	0.00000	2348	0.00061	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1550	0.00036	0	0.00000	0	0.00000	4333	0.00069	0	0.00000	1590	0.00048	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Frankiaceae	74712	F	0	0.00000	0	0.00000	2283	0.00060	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1285	0.00030	0	0.00000	0	0.00000	3714	0.00059	0	0.00000	1348	0.00041	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseobacteraceae	2854170	F	0	0.00000	0	0.00000	2274	0.00060	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1387	0.00032	0	0.00000	0	0.00000	3621	0.00058	0	0.00000	1622	0.00049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Natrialbaceae	1644061	F	0	0.00000	0	0.00000	2204	0.00058	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1219	0.00028	0	0.00000	0	0.00000	3562	0.00057	0	0.00000	1390	0.00042	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alcaligenaceae	506	F	0	0.00000	0	0.00000	2168	0.00057	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1376	0.00032	0	0.00000	0	0.00000	3290	0.00053	0	0.00000	1714	0.00052	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Azospirillaceae	2829815	F	0	0.00000	0	0.00000	1897	0.00050	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1109	0.00026	0	0.00000	0	0.00000	2906	0.00046	0	0.00000	1459	0.00044	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Zoogloeaceae	2008794	F	0	0.00000	0	0.00000	1889	0.00049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2833	0.00045	0	0.00000	1197	0.00036	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sphaerotilaceae	2975441	F	0	0.00000	0	0.00000	1798	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2764	0.00044	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Caulobacteraceae	76892	F	0	0.00000	0	0.00000	1767	0.00046	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2831	0.00045	0	0.00000	1128	0.00034	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Jiangellaceae	1217100	F	0	0.00000	0	0.00000	1759	0.00046	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2916	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sanguibacteraceae	145360	F	0	0.00000	0	0.00000	1736	0.00045	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2924	0.00047	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodanobacteraceae	1775411	F	0	0.00000	0	0.00000	1524	0.00040	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2209	0.00035	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Erythrobacteraceae	335929	F	0	0.00000	0	0.00000	1490	0.00039	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2481	0.00040	0	0.00000	1223	0.00037	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Iamiaceae	633392	F	0	0.00000	0	0.00000	1407	0.00037	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2438	0.00039	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Polyangiaceae	49	F	0	0.00000	0	0.00000	1380	0.00036	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2413	0.00039	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Jatrophihabitantaceae	2805416	F	0	0.00000	0	0.00000	1370	0.00036	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1834	0.00029	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
