name	taxonomy_id	taxonomy_lvl	SRR15276518_genus_filtered.bracken_num	SRR15276518_genus_filtered.bracken_frac	SRR15276519_genus_filtered.bracken_num	SRR15276519_genus_filtered.bracken_frac	SRR15276520_genus_filtered.bracken_num	SRR15276520_genus_filtered.bracken_frac	SRR15276521_genus_filtered.bracken_num	SRR15276521_genus_filtered.bracken_frac	SRR15276522_genus_filtered.bracken_num	SRR15276522_genus_filtered.bracken_frac	SRR15276523_genus_filtered.bracken_num	SRR15276523_genus_filtered.bracken_frac	SRR15276524_genus_filtered.bracken_num	SRR15276524_genus_filtered.bracken_frac	SRR15276525_genus_filtered.bracken_num	SRR15276525_genus_filtered.bracken_frac	SRR15276526_genus_filtered.bracken_num	SRR15276526_genus_filtered.bracken_frac	SRR15276527_genus_filtered.bracken_num	SRR15276527_genus_filtered.bracken_frac	SRR15276528_genus_filtered.bracken_num	SRR15276528_genus_filtered.bracken_frac	SRR15276529_genus_filtered.bracken_num	SRR15276529_genus_filtered.bracken_frac	SRR15276530_genus_filtered.bracken_num	SRR15276530_genus_filtered.bracken_frac	SRR15276531_genus_filtered.bracken_num	SRR15276531_genus_filtered.bracken_frac	SRR15276532_genus_filtered.bracken_num	SRR15276532_genus_filtered.bracken_frac	SRR15276533_genus_filtered.bracken_num	SRR15276533_genus_filtered.bracken_frac	SRR15276534_genus_filtered.bracken_num	SRR15276534_genus_filtered.bracken_frac	SRR15276535_genus_filtered.bracken_num	SRR15276535_genus_filtered.bracken_frac	SRR15276536_genus_filtered.bracken_num	SRR15276536_genus_filtered.bracken_frac	SRR15276537_genus_filtered.bracken_num	SRR15276537_genus_filtered.bracken_frac	SRR15276538_genus_filtered.bracken_num	SRR15276538_genus_filtered.bracken_frac	SRR15276539_genus_filtered.bracken_num	SRR15276539_genus_filtered.bracken_frac	SRR15276540_genus_filtered.bracken_num	SRR15276540_genus_filtered.bracken_frac	SRR15276541_genus_filtered.bracken_num	SRR15276541_genus_filtered.bracken_frac	SRR15276542_genus_filtered.bracken_num	SRR15276542_genus_filtered.bracken_frac	SRR15276543_genus_filtered.bracken_num	SRR15276543_genus_filtered.bracken_frac	SRR15276544_genus_filtered.bracken_num	SRR15276544_genus_filtered.bracken_frac	SRR15276545_genus_filtered.bracken_num	SRR15276545_genus_filtered.bracken_frac	SRR15276546_genus_filtered.bracken_num	SRR15276546_genus_filtered.bracken_frac	SRR15276547_genus_filtered.bracken_num	SRR15276547_genus_filtered.bracken_frac
Exiguobacterium	33986	G	0	0.00000	9305	0.00089	0	0.00000	7261	0.00089	0	0.00000	3016	0.00057	3518	0.00070	0	0.00000	0	0.00000	7939	0.00087	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1501	0.00023	0	0.00000	0	0.00000	0	0.00000	3735	0.00074	0	0.00000	0	0.00000	0	0.00000	4955	0.00068	0	0.00000	2117	0.00042	0	0.00000	2288	0.00057
Vibrio	662	G	0	0.00000	2993	0.00029	0	0.00000	2284	0.00028	0	0.00000	1164	0.00022	1460	0.00029	1092	0.00088	0	0.00000	2495	0.00027	1084	0.00083	1134	0.00027	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2217	0.00069	2140	0.00033	0	0.00000	0	0.00000	1226	0.00022	1318	0.00026	0	0.00000	0	0.00000	0	0.00000	1731	0.00024	0	0.00000	1128	0.00022	0	0.00000	1159	0.00029
Pseudomonas	286	G	0	0.00000	2924	0.00028	15577	0.00419	2572	0.00032	0	0.00000	1264	0.00024	1951	0.00039	3442	0.00279	5028	0.00276	2902	0.00032	2115	0.00162	7075	0.00168	2293	0.00123	4363	0.00244	21434	0.00349	3575	0.00238	8837	0.00277	2557	0.00039	1562	0.00038	2688	0.00105	2232	0.00041	2874	0.00057	1362	0.00165	1403	0.00053	0	0.00000	1978	0.00027	1373	0.00059	1509	0.00030	0	0.00000	1430	0.00035
Limosilactobacillus	2742598	G	0	0.00000	2366	0.00023	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Chryseobacterium	59732	G	0	0.00000	2208	0.00021	0	0.00000	1882	0.00023	1144	0.00039	1120	0.00021	0	0.00000	0	0.00000	0	0.00000	1961	0.00022	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1318	0.00041	1506	0.00023	0	0.00000	0	0.00000	0	0.00000	1183	0.00023	0	0.00000	0	0.00000	0	0.00000	1399	0.00019	1164	0.00050	0	0.00000	0	0.00000	0	0.00000
Pectobacterium	122277	G	0	0.00000	2077	0.00020	2136	0.00057	3215	0.00040	1691	0.00057	4708	0.00089	5392	0.00107	2408	0.00195	0	0.00000	0	0.00000	4351	0.00334	6666	0.00158	0	0.00000	0	0.00000	5728	0.00093	1838	0.00122	3482	0.00109	14972	0.00231	4912	0.00118	3895	0.00152	48759	0.00887	3644	0.00072	5341	0.00649	16799	0.00632	1396	0.00093	9869	0.00135	3974	0.00169	16968	0.00333	6677	0.00726	7204	0.00178
Acinetobacter	469	G	0	0.00000	2049	0.00020	0	0.00000	1624	0.00020	0	0.00000	1089	0.00020	0	0.00000	0	0.00000	0	0.00000	1893	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1232	0.00039	1268	0.00020	0	0.00000	0	0.00000	0	0.00000	1170	0.00023	0	0.00000	0	0.00000	0	0.00000	1347	0.00018	0	0.00000	1075	0.00021	0	0.00000	0	0.00000
Lactobacillus	1578	G	0	0.00000	1882	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus	44249	G	0	0.00000	1843	0.00018	1149	0.00031	1533	0.00019	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1677	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1309	0.00021	0	0.00000	1952	0.00061	1276	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1134	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aggregatibacter	416916	G	0	0.00000	1765	0.00017	0	0.00000	1198	0.00015	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1309	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
